Samples	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1
Lachnospiraceae	43.63040945	35.68591428	40.4003264	42.65979678	46.84657199	42.59360503	64.53709147	57.57584381	45.46216815	36.85666416	28.3123809
Bifidobacteriaceae	4.975776248	0.79557198	5.666560231	9.432895928	15.1837326	4.046790337	6.344684977	4.386049785	5.287978701	16.22229026	7.212156353
Oscillospiraceae	24.92407418	24.75927796	24.71861793	18.96528677	18.38047949	22.58790329	20.80891095	25.03135061	19.83850643	17.37256603	26.59433029
Coriobacteriaceae	2.159986375	1.089429789	1.797039374	2.548118819	12.25854383	1.213784492	0	0	2.097900442	9.852398995	2.482716086
Erysipelotrichaceae	0.539954436	0.559360918	0.180187735	0.258720611	0.495838127	0.82422589	0.746044377	1.282481792	0.662033616	0.588320342	0.240423677
Enterobacteriaceae	3.378846669	1.701985063	0	0	0.482795884	0.142182575	1.014257443	0.456457277	0	0	0
Selenomonadaceae	9.928281505	2.502243771	0	0	0	0	0	0	0	0	0
Clostridiaceae	0.673003796	0.563813309	4.094863037	1.968747092	1.654035875	0.800047635	1.309310717	1.68638767	3.361330605	4.652982425	2.385955712
Acidaminococcaceae	1.862691037	1.354932898	0	0	0	0	0.43794903	0.372602698	0.345110189	0	0
Peptostreptococcaceae	0.160198849	0.412900686	0.107833113	0	1.156567468	0.611493332	0.263865708	0.292352728	0.567761924	2.136196053	0.167299425
Bacteroidaceae	3.157940888	22.6230676	12.09870331	15.89634255	0.948590273	20.20706691	0.916725419	2.088775818	1.391099615	1.243616076	19.7684768
Eggerthellaceae	0.643830742	0.221447871	0.139441225	0.323358461	0.702185041	1.081706263	0.904817439	1.411678552	0.208913649	0.752888447	1.283367556
Streptococcaceae	0	0.323852865	0.683659789	0.318112981	0.385910651	0	0.130798761	0.284005213	1.428050329	0	0
Veillonellaceae	1.480574625	0.262222399	1.823164445	3.140181223	0.392431773	1.685260467	0.940541378	1.605947984	0.281630758	0	1.230370939
Bacillaceae	0	0	0	0	0	0	0	0	0	0	0
Paenibacillaceae	0	0	0	0	0	0	0	0	0	0	0
Christensenellaceae	0	0	0	0	0	0	0	0	0	0	0
Lactobacillaceae	0	0	0	0	0	0	0	0	0	0	0
Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	0
Enterococcaceae	0	0	0	0	0	0	0	0	0	0	0
Turicibacteraceae	0.10573124	0.090219503	0	0	0.251994764	0	0	0	0.119142364	0	0
Eubacteriaceae	1.208911103	1.557399522	2.374478708	1.133531308	0.247802615	0.307821666	0.256116071	0.443746289	1.251350122	2.074961409	0.89964989
Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	0
Pseudomonadaceae	0	0	0	0	0	0	0	0	0	0	0
Flavobacteriaceae	0	0	0	0	0	0	0	0	0	0	0
Planococcaceae	0	0	0	0	0	0	0	0	0	0	0
Peptococcaceae	0	0	0	0	0	0	0	0	0	0	0
Listeriaceae	0	0	0	0	0	0	0	0	0	0	0
Moraxellaceae	0	0	0	0	0	0	0	0	0	0	0
Fusobacteriaceae	0	0	0	0	0	0	0	0	0	0	0
Pasteurellaceae	0	0.14271085	0	0	0	0	0	0	0	0	0
Vibrionaceae	0	0	0	0	0	0	0	0	0	0	0
Actinomycetaceae	0	0	0	0	0	0	0	0	0	0	0
Burkholderiaceae	0	0	0	0	0	0	0	0	0	0	0
Weeksellaceae	0	0	0	0	0	0	0	0	0	0	0
Coprobacillaceae	0.490714369	0.539676663	0.145676838	0.211003663	0.612519622	0.768471555	0.630744891	0.566113264	0.204650105	0	0
